 ,ID1,ID2,Inner,Outer,PctShort,Angle
1,1,2,44.452,249.717,15.111,20.942
2,1,3,9.891,301.746,3.174,64.910
3,2,3,27.048,264.562,9.275,115.627
4,2,38,28.792,238.177,10.785,172.026
5,3,4,35.800,277.779,11.417,11.167
6,4,33,3.759,279.289,1.328,149.083
7,4,38,2.313,302.917,0.758,116.625
8,5,7,47.668,326.503,12.740,65.808
9,5,17,67.686,381.731,15.061,49.855
10,5,18,14.908,344.108,4.152,179.717
11,8,9,21.255,284.733,6.946,6.348
12,8,32,10.698,305.518,3.383,113.122
13,8,33,20.423,259.480,7.296,49.788
14,9,10,14.431,211.276,6.394,4.390
15,10,13,37.138,262.467,12.396,54.870
16,11,12,42.246,261.534,13.907,12.055
17,12,13,3.257,310.378,1.039,158.616
18,12,14,32.559,238.360,12.018,15.002
19,12,27,19.810,309.759,6.011,94.386
20,13,14,19.343,361.388,5.080,100.412
21,13,15,47.386,223.437,17.497,43.959
22,13,22,2.177,290.755,0.743,6.392
23,13,24,34.560,301.878,10.272,141.826
24,14,15,18.742,297.516,5.926,146.249
25,14,16,35.481,216.686,14.070,12.654
26,14,27,28.239,236.788,10.655,132.925
27,14,34,16.385,309.692,5.025,78.712
28,15,16,27.368,262.067,9.456,78.505
29,15,22,45.428,253.787,15.182,144.690
30,16,31,28.845,224.756,11.374,33.397
31,16,34,27.247,257.859,9.557,125.099
32,17,18,27.552,422.966,6.116,129.276
33,17,25,26.876,334.864,7.430,24.126
34,17,29,26.133,405.324,6.057,158.300
35,18,26,24.767,282.743,8.054,26.665
36,19,41,59.355,296.820,16.664,89.248
37,20,21,41.584,262.311,13.684,99.422
38,22,23,42.614,584.093,6.800,131.427
39,22,24,22.070,250.336,8.102,62.569
40,23,24,51.633,591.110,8.033,169.822
41,25,28,34.839,175.731,16.545,24.330
42,26,27,37.066,264.380,12.296,178.153
43,27,34,27.071,294.939,8.407,28.469
44,27,35,5.117,271.446,1.850,86.441
45,28,36,37.415,242.927,13.346,34.358
46,29,30,26.113,289.049,8.286,160.087
47,31,34,12.333,228.408,5.123,168.170
48,31,37,44.184,294.203,13.057,101.891
49,32,41,26.889,242.946,9.965,166.166
50,33,38,36.488,277.122,11.635,49.447
51,34,35,23.949,238.806,9.115,134.290
52,34,37,26.335,278.117,8.650,69.277
53,35,36,50.309,259.135,16.258,144.931
54,35,37,45.074,358.968,11.156,7.724
55,38,39,29.152,222.931,11.565,100.625
56,39,40,14.824,197.964,6.966,148.400
