ID,X,Y,Max,Min,Area,R,Phi
1,298.7221,282.9719,108.1034,86.4180,29349.0000,1.2509,127.34
2,398.4735,312.2975,86.2512,59.8691,16222.5000,1.4407,108.63
3,353.4562,423.1722,71.3955,60.3489,13536.0000,1.1830,34.48
4,471.1887,457.0343,90.0026,82.5155,23331.3750,1.0907,40.28
5,386.7672,794.9939,168.6433,93.2856,49423.5000,1.8078,-38.43
7,374.8229,637.2705,110.4857,90.0678,31262.6250,1.2267,120.25
8,677.2087,480.8099,98.5855,84.4562,26157.3750,1.1673,-35.18
9,812.4544,476.5458,101.4504,62.3714,19878.7500,1.6266,101.09
10,915.7985,493.8669,77.5107,49.7942,12125.2500,1.5566,69.07
11,721.8647,678.9891,84.0661,73.8551,19505.2500,1.1383,24.64
12,827.1180,718.5221,109.6137,68.6117,23627.2500,1.5976,92.71
13,963.9276,603.3223,102.7388,75.3989,24336.0000,1.3626,126.27
14,922.4536,776.6320,100.1662,66.3993,20894.6250,1.5085,90.56
15,1027.7340,665.1475,89.8053,59.7566,16859.2500,1.5029,-38.32
16,1009.8312,807.5098,102.9779,59.3807,19210.5000,1.7342,103.25
17,483.0139,920.7963,159.5411,130.0764,65196.0000,1.2265,122.96
18,598.5606,758.8671,97.5782,66.3108,20327.6250,1.4715,46.46
19,822.9317,169.1345,122.0507,97.1893,37265.6250,1.2558,8.24
20,120.8264,796.0495,87.8035,79.2558,21862.1250,1.1078,3.20
21,147.0073,688.2896,137.5109,72.7364,31422.3750,1.8905,6.94
22,1117.8883,610.1471,77.4266,59.4360,14457.3750,1.3027,37.70
23,1326.9477,425.0080,266.8863,208.1681,174538.1250,1.2821,-28.26
24,1061.6117,506.8454,71.7043,61.9768,13961.2500,1.1570,117.78
25,625.8273,980.5492,85.7715,50.5722,13627.1250,1.6960,109.38
26,708.6506,847.1033,75.4806,56.9736,13510.1250,1.3248,66.74
27,828.8087,864.9258,98.6557,55.5356,17212.5000,1.7764,10.25
28,694.4992,1005.6273,77.8793,53.5728,13107.3750,1.4537,-44.93
29,311.6724,1016.9891,71.2503,70.2273,15719.6250,1.0146,111.48
30,165.1939,1039.0939,112.4638,71.9166,25409.2500,1.5638,14.96
31,1074.9115,915.3079,96.0075,62.7258,18919.1250,1.5306,85.44
32,726.1991,321.1717,92.2376,52.8776,15322.5000,1.7444,79.31
33,594.4885,393.5687,59.9730,53.9181,10158.7500,1.1123,-5.23
34,960.6673,928.0706,79.9475,55.4835,13935.3750,1.4409,45.82
35,886.2722,1005.5570,100.8434,75.9353,24057.0000,1.3280,43.82
36,788.8860,1052.6131,89.0453,73.6866,20613.3750,1.2084,14.82
37,1045.3946,1041.0450,115.0924,78.9487,28545.7500,1.4578,2.75
38,514.0426,303.4736,101.4160,69.2745,22071.3750,1.4640,51.40
39,491.8729,184.3634,68.6963,44.5849,9622.1250,1.5408,56.87
40,577.9553,145.4937,69.5628,56.9815,12452.6250,1.2208,11.45
41,829.6386,288.3133,82.9519,79.2720,20658.3750,1.0464,-40.65
